trigger_word    ,synonyms       ,keywords     ,What                                                            ,Why                                                                              ,How                                                                                   ,Symptoms
Cardiovascular  ,Coronary       ,Arterial     ,Cardiovascular refers to the heart and blood vessels.           ,Understanding cardiovascular health is key to preventing heart disease in women. ,"Maintain a healthy lifestyle with exercise, a balanced diet, and regular check-ups." ,"Shortness of breath, fatigue, chest pain."
Hypertension    ,Blood_pressure ,Hypertensive ,Hypertension is high blood pressure.                            ,It increases the risk of heart attacks and strokes in women.                     ,"Regular monitoring, reducing salt intake, and managing stress."                      ,"Headaches, dizziness, shortness of breath."
Cholesterol     ,Lipid          ,Triglyceride ,Cholesterol is a type of fat found in your blood.               ,High levels increase the risk of heart disease.                                  ,"Eat a low-fat diet, exercise regularly, and take prescribed medications."            ,"No symptoms, but detected through blood tests."
Arrhythmia      ,Rhythm         ,Palpitations ,Arrhythmia is an irregular heartbeat.                           ,It can lead to serious complications like stroke.                                ,"Avoid caffeine, manage stress, and take medications as prescribed."                  ,"Palpitations, dizziness, fainting."
Atherosclerosis ,Plaque         ,Hardening    ,Atherosclerosis is the buildup of plaque in the arteries.       ,It can cause heart attacks and strokes.                                          ,"Eat a healthy diet, exercise, and avoid smoking."                                    ,"Chest pain, shortness of breath, fatigue."
Myocardial      ,Infarction     ,Ischemia     ,Myocardial infarction is a heart attack.                        ,It can cause permanent heart damage or death.                                    ,Recognize early signs and seek immediate medical attention.                           ,"Chest pain, shortness of breath, nausea."
Stenosis        ,Narrowing      ,Obstruction  ,Stenosis is the narrowing of blood vessels or heart valves.     ,It can restrict blood flow and lead to heart failure.                            ,Regular check-ups and treatment to manage symptoms.                                   ,"Shortness of breath, fatigue, chest pain."
Tachycardia     ,Rapid          ,Heartbeat    ,Tachycardia is a rapid heartbeat.                               ,It can increase the risk of stroke or heart failure.                             ,"Avoid stimulants, manage stress, and follow medical advice."                         ,"Rapid heartbeat, dizziness, shortness of breath."
Endocarditis    ,Inflammation   ,Infection    ,Endocarditis is the inflammation of the heart's inner lining.   ,It can damage heart valves and lead to heart failure.                            ,"Prevent infections, maintain dental hygiene, and take antibiotics if needed."        ,"Fever, fatigue, shortness of breath."
Angina          ,Chest_pain     ,Discomfort   ,Angina is chest pain caused by reduced blood flow to the heart. ,It signals an increased risk of heart attack.                                    ,"Manage stress, avoid heavy meals, and follow a healthy lifestyle."                   ,"Chest pain, shortness of breath, nausea."
